Record	Species	Country	Locality	Latitude Y	Longitude X	Reliability	host	year	authority
19391	Ornithodoros moubata	Malawi	not given	-11.6298	33.7237	M2	cattle	1970-1975	249
19392	Ornithodoros moubata	Malawi	not given	-11.5719	33.6821	M2	cattle	1970-1975	249
19393	Ornithodoros moubata	Malawi	not given	-11.5284	33.5332	M2	cattle	1970-1975	249
19394	Ornithodoros moubata	Malawi	not given	-11.5302	33.4256	M2	cattle	1970-1975	249
19395	Ornithodoros moubata	Malawi	not given	-11.5717	33.3615	M2	cattle	1970-1975	249
19396	Ornithodoros moubata	Malawi	not given	-11.5143	33.3141	M2	cattle	1970-1975	249
19397	Ornithodoros moubata	Malawi	not given	-11.6225	33.3191	M2	cattle	1970-1975	249
19398	Ornithodoros moubata	Malawi	not given	-11.2673	33.4539	M2	cattle	1970-1975	249
19399	Ornithodoros moubata	Malawi	not given	-11.288	33.3962	M2	cattle	1970-1975	249
19400	Ornithodoros moubata	Malawi	not given	-11.3651	33.3699	M2	cattle	1970-1975	249
19401	Ornithodoros moubata	Malawi	not given	-11.3641	33.4573	M2	cattle	1970-1975	249
19402	Ornithodoros moubata	Malawi	not given	-11.2265	33.5179	M2	cattle	1970-1975	249
19403	Ornithodoros moubata	Malawi	not given	-11.2151	33.598	M2	cattle	1970-1975	249
19404	Ornithodoros moubata	Malawi	not given	-10.8674	33.6774	M2	cattle	1970-1975	249
19405	Ornithodoros moubata	Malawi	not given	-11.0564	33.8069	M2	cattle	1970-1975	249
19406	Ornithodoros moubata	Malawi	not given	-11.027	33.949	M2	cattle	1970-1975	249
19407	Ornithodoros moubata	Malawi	not given	-11.242	33.7416	M2	cattle	1970-1975	249
19408	Ornithodoros moubata	Malawi	not given	-11.3076	33.656	M2	cattle	1970-1975	249
19409	Ornithodoros moubata	Malawi	not given	-11.3869	33.6431	M2	cattle	1970-1975	249
19410	Ornithodoros moubata	Malawi	not given	-11.4171	33.7413	M2	cattle	1970-1975	249
19411	Ornithodoros moubata	Malawi	not given	-11.3472	33.8037	M2	cattle	1970-1975	249
19412	Ornithodoros moubata	Malawi	not given	-11.2878	33.8567	M2	cattle	1970-1975	249
19413	Ornithodoros moubata	Malawi	not given	-11.3782	33.8824	M2	cattle	1970-1975	249
19414	Ornithodoros moubata	Malawi	not given	-11.4367	33.8955	M2	cattle	1970-1975	249
19415	Ornithodoros moubata	Malawi	not given	-12.0702	34.7818	M2	cattle	1970-1975	249
19416	Ornithodoros moubata	Malawi	not given	-12.0455	34.6485	M2	cattle	1970-1975	249
19417	Ornithodoros moubata	Mozambique	Caia	-25.31666667	31.03333333	A1	in house	1912	360
19418	Ornithodoros moubata	Mozambique	Chibuto (Sul do Save)	-24.7	33.55	G3	not individually recorded	before 1952	304
19419	Ornithodoros moubata	Mozambique	Chinde	-18.5	36.25	G3	not individually recorded	before 1952	304
19420	Ornithodoros moubata	Mozambique	Inhambane	-23.86666667	34.61666667	G1	not recorded	1909	360
19421	Ornithodoros moubata	Mozambique	Machanga	-20.96666667	35	G1	not individually recorded	before 1952	304
19422	Ornithodoros moubata	Mozambique	Magude	-24.75	32.5	G3	not individually recorded	before 1952	304
19423	Ornithodoros moubata	Mozambique	Maputo	-26.5	32.5	G3	not individually recorded	before 1952	304
19424	Ornithodoros moubata	Mozambique	Marracuene	-25.66666667	32.66666667	G3	not individually recorded	before 1952	304
19425	Ornithodoros moubata	Mozambique	Mocimboa da Praia	-11.5	40.25	G3	not individually recorded	before 1952	304
19426	Ornithodoros moubata	Mozambique	Quelimane	-17.85	36.86666667	G1	not individually recorded	before 1952	304
19427	Ornithodoros moubata	Mozambique	Sabie	-25.5	32.25	G3	not individually recorded	before 1952	304
19428	Ornithodoros moubata	Namibia	Omaruru	-21.43333333	15.93333333	G1	not individually recorded	before 1962	193
19429	Ornithodoros moubata	Namibia	Ondangua	-17.91666667	15.95	G1	not individually recorded	before 1962	193
19430	Ornithodoros moubata	Namibia	Tsumeb	-19.23333333	17.71666667	G1	not individually recorded	before 1962	193
19431	Ornithodoros moubata	Namibia	Windhoek	-22.58333333	17.08333333	G1	not individually recorded	before 1962	193
19432	Ornithodoros moubata	RSA	Beaufort West	-32.35	22.58333333	A1	not individually recorded	before 1962	193
19433	Ornithodoros moubata	RSA	Graaf Reinet	-32.25	24.53333333	A1	not individually recorded	before 1962	193
19434	Ornithodoros moubata	RSA	Hlatikulu district	-29	30.33333333	A2	in house	1913	360
19435	Ornithodoros moubata	RSA	Jansenville	-32.93333333	24.66666667	A1	not individually recorded	before 1962	193
19436	Ornithodoros moubata	RSA	Mkuze Game Reserve	-27.63333333	32.25	G1	bushpig	before 1962	193
19437	Ornithodoros moubata	RSA	"near Stockpoort, Potgietersrus area (Potgietersrus coords)"	-24.18333333	29.01666667	G2	aardvark burrows	before 1956	230
19438	Ornithodoros moubata	RSA	"Niekerk's Hope (Niekerkshoop), Kimberley, Cape"	-29.31666667	22.83333333	G1	"Testudo oculifera, Testudo verreauii"	before 1932	268
19439	Ornithodoros moubata	RSA	Pretoria	-30.78333333	28.58333333	G2	not individually recorded	before 1962	193
19440	Ornithodoros moubata	RSA	"Steytlerville, Cape"	-33.33333333	24.35	A1	not individually recorded	before 1962	193
19441	Ornithodoros moubata	RSA	Taungs (=Taung)	-27.53333333	24.8	G1	not individually recorded	before 1962	193
19442	Ornithodoros moubata	RSA	Vryheid (Natal)	-27.76666667	30.8	G1	not individually recorded	before 1962	193
19443	Ornithodoros moubata	RSA	Warmbaths (Tvl)	-24.88333333	28.28333333	G1	not individually recorded	before 1962	193
19444	Ornithodoros moubata	RSA	Warrenton	-28.11666667	24.85	G1	not individually recorded	before 1962	193
19445	Ornithodoros moubata	RSA	Zebediela	-24.28333333	29.26666667	G2	not individually recorded	before 1962	193
19446	Ornithodoros moubata	RSA	Zeerust	-25.53333333	26.08333333	G1	not individually recorded	before 1962	193
19447	Ornithodoros moubata	RSA	Zoekmekaar	-23.48333333	29.93333333	G1	not individually recorded	before 1962	193
19448	Ornithodoros moubata	Somalia	Afgoi	2.15	45.11666667	G1	not recorded	before 1934	272
19449	Ornithodoros moubata	Somalia	Audegle	1.983333333	44.83333333	G1	not recorded	before 1934	272
19450	Ornithodoros moubata	Somalia	Balad	8.166666667	46.91666667	G1	not recorded	before 1934	272
19451	Ornithodoros moubata	Somalia	Brava	1.1	44.05	G1	not recorded	before 1934	272
19452	Ornithodoros moubata	Somalia	Lugh	3.8	42.55	G1	not recorded	before 1934	272
19453	Ornithodoros moubata	Somalia	Uegit	3.8	43.25	G1	not recorded	before 1934	272
19454	Ornithodoros moubata	Sudan	"Guar-Galal Rd. near Guar (HH gives approx Guar coords, listed here)"	8.833333333	28.5	A2	warthog burrows	before 1956	230
19455	Ornithodoros moubata	Sudan	Wani Mika	5.6	31.7	G1	in African hut	"1925, 1948-1956"	230
19456	Ornithodoros moubata	Tanzania	Bukoba district	-1.583333333	30.5	A2	"cattle, in house"	1913	360
19457	Ornithodoros moubata	Tanzania	"Kihurio, Lushoto district"	-4.466666667	37.93333333	A1	in house	1913	360
19458	Ornithodoros moubata	Tanzania	Lindi	-12	38.28333333	A1	in house	1913	360
19459	Ornithodoros moubata	Tanzania	Lindi district	-12	38.66666667	A3	in house	1913	360
19460	Ornithodoros moubata	Tanzania	"Wawindi, Iringa district"	-10	34.5	A3	not recorded	1913	360
19461	Ornithodoros moubata	Tanzania	"West Ussuri, Bukoba district"	-1.583333333	30.5	A3	not recorded	1913	360
19462	Ornithodoros moubata	Uganda	Bugaga	-1.216666667	30.2	A1	not recorded	1908-1909	20
19463	Ornithodoros moubata	Uganda	Bugange (Buganga)	-0.05	31.98333333	A1	not recorded	1908-1909	20
19464	Ornithodoros moubata	Uganda	Bugembe	0.483333333	33.23333333	A1	not recorded	1908-1909	20
19465	Ornithodoros moubata	Uganda	Bulange	0.75	33.7	A1	not recorded	1908-1909	20
19466	Ornithodoros moubata	Uganda	Entebbe	0.066666667	31.53333333	A1	in house	c. 1908	360
19467	Ornithodoros moubata	Uganda	Fort Portal	0.666666667	30.25	A1	not recorded	1908-1909	20
19468	Ornithodoros moubata	Uganda	Kabanda	1.533333333	30.98333333	A1	not recorded	1908-1909	20
19469	Ornithodoros moubata	Uganda	Kabula	0.25	31.25	A1	not recorded	1908-1909	20
19470	Ornithodoros moubata	Uganda	Kalamba	0.266666667	32.2	A1	not recorded	1908-1909	20
19471	Ornithodoros moubata	Uganda	Kamaliya (Kamalia/Kamarya)	-0.35	30.98333333	A1	not recorded	1908-1909	20
19472	Ornithodoros moubata	Uganda	Kamarya	-0.35	30.98333333	A1	not recorded	1908-1909	20
19473	Ornithodoros moubata	Uganda	Kigembo	1	32.83333333	A1	not recorded	1908-1909	20
19474	Ornithodoros moubata	Uganda	Kirindi (Kirinjui ?)	1.35	31.8	A1	not recorded	1908-1909	20
19475	Ornithodoros moubata	Uganda	Kisali (Kisala)	1.016666667	31.15	A1	not recorded	1908-1909	20
19476	Ornithodoros moubata	Uganda	Lubembe	0.583333333	32.5	A1	not recorded	1908-1909	20
19477	Ornithodoros moubata	Uganda	Mawagola	0.25	31.25	A1	not recorded	1908-1909	20
19478	Ornithodoros moubata	Uganda	Mbarara	-0.5	30.75	A1	not recorded	1908-1909	20
19479	Ornithodoros moubata	Uganda	"Mpumu, Chagwe"	0.2	31.16666667	A1	not recorded	1909	360
19480	Ornithodoros moubata	Uganda	Musale	0.5	31.5	A1	not recorded	1908-1909	20
19481	Ornithodoros moubata	Uganda	Muwawo (Muwawu?)	-0.5	31.81666667	A1	not recorded	1908-1909	20
19482	Ornithodoros moubata	Uganda	Mwera	0.3	32.11666667	G2	not recorded	1908-1909	20
19483	Ornithodoros moubata	Uganda	Nakiojo (Nkakayojo)	-0.65	30.61666667	A1	not recorded	1908-1909	20
19484	Ornithodoros moubata	Uganda	Nalukoge (Nalukonge ?)	1.166666667	32.68333333	A1	not recorded	1908-1909	20
19485	Ornithodoros moubata	Uganda	Nsoziling (? Nsozibiri=coords here)	0.283333333	31.6	G2	not recorded	1908-1909	20
19486	Ornithodoros moubata	Uganda	Toro District	0.5	30.25	A1	not recorded	1908-1909	20
19487	Ornithodoros moubata	DR Congo (former Zaire)	E of Bolemo	2.416666667	18.83333333	A2	goat	1913	360
19488	Ornithodoros moubata	DR Congo (former Zaire)	Irumu	1.45	29.86666667	G1	not recorded	1926-1927	12
19489	Ornithodoros moubata	DR Congo (former Zaire)	Kabare	-2.35	28.88333333	A1	native huts	before 1931	12
19490	Ornithodoros moubata	DR Congo (former Zaire)	Kivu	-2.5	28	G3	not recorded	before 1956	230
19491	Ornithodoros moubata	DR Congo (former Zaire)	Lake Edward region	-1.65	28.41666667	A3	burrows of warthog	1933	360
19492	Ornithodoros moubata	DR Congo (former Zaire)	Lubero	-0.166666667	29.23333333	G1	native huts	"1909-1915, 1926-1927"	12
19493	Ornithodoros moubata	DR Congo (former Zaire)	Rutshuru	-1.183333333	29.45	G1	not recorded	1926-1927	12
19494	Ornithodoros moubata	DR Congo (former Zaire)	Uvira	-3.4	29.13333333	G1	not recorded	1926-1927	12
19495	Ornithodoros moubata	DR Congo (former Zaire)	Zambi area	-5.85	12.86666667	A2	pigs	before 1956	230
19496	Ornithodoros moubata	Zambia	"Chitambo Station, Serenje"	-13.23333333	29.76666667	A1	in house	1914	360
19497	Ornithodoros moubata	Zambia	Kabwe	-14.45	27.55	A1	"cattle, dog"	1917	360
19498	Ornithodoros moubata	Zambia	Livingstone	-17.85	24.13333333	A1	in house	1913	360
19499	Ornithodoros moubata	Zambia	Luangwa Valley	-11.91666667	32.16666667	G2	warthog	1966-1973	110
19500	Ornithodoros moubata	Zambia	near Mwengwa	-15.28333333	24.01666667	A1	Phacochoerus aethiopicus	1913	360
19501	Ornithodoros moubata	Zambia	Serenje	-13.23333333	29.76666667	A1	not recorded	1912	360
19502	Ornithodoros moubata	Zimbabwe	"Balla Balla Pan, Hwange Park"	-19	26.833333	A1	warthog burrow	1975-1981	343
19503	Ornithodoros moubata	Zimbabwe	"Buffalo Range Ranch, Chiredzi"	-21	31.5	A1	warthog burrow	1975-1981	343
19504	Ornithodoros moubata	Zimbabwe	Chirisa Safari Area	-18	28.25	A1	warthog burrow	1975-1981	343
19505	Ornithodoros moubata	Zimbabwe	"Iwaba Ranch, Kwekwe district"	-18.75	30.25	A1	warthog burrow	1975-1981	343
19506	Ornithodoros moubata	Zimbabwe	Mt. Selinda	-20.45	31.28333333	A1	in house	1912	360
19507	Ornithodoros moubata	Zimbabwe	"Ruware Ranch, Chiredzi"	-20.833333	30.833333	A1	warthog burrow	1975-1981	343
19508	Ornithodoros moubata	Zimbabwe	Victoria Falls Nat. Park	-18	24.666666	A1	warthog burrow	1975-1981	343
19509	Ornithodoros normandi	Tunisia	Al Kaf	36.18333333	7.283333333	A1	burrows of small rodents	1922	360
19510	Ornithodoros perengueyi	RSA	"Nqamakwe, Cape Province"	-32.2	27.93333333	G1	not recorded	1925	261
19511	Ornithodoros perengueyi	RSA	Onderstepoort	-25.55	28.11666667	G1	Petrochelidon spilodera (SA cliff swallow)	1927	261
19512	Ornithodoros perengueyi	RSA	Swartkops (Port Elizabeth)	-33.86666667	25.6	G1	not individually recorded	before 1962	193
19513	Ornithodoros peringueyi	RSA	Onderstepoort	-25.65	27.81666667	A1	nest of Hirundo spilodera	1937	360
19514	Ornithodoros peringueyi	RSA	Onderstepoort	-25.65	27.81666667	A1	Hirundo spilodera	1931	360
19515	Ornithodoros porcinus	Swaziland	Hlane Wildlife Sanctuary	-26.25	31.86666667	M3	warthog	1985-1986	55
19516	Ornithodoros porcinus	Swaziland	Mlawula-Mbuluze-Simunye Res.	-26.25	31.93333333	M3	warthog	1985-1986	55
19517	Ornithodoros salahi	Egypt	"Old Cairo, Fom el Khalig aqueduct (Misr Al Qadimah coords)"	30.01666667	31.23333333	G2	Rousettus aegyptiacus (fruit bat)	"1951, 1952"	235
19518	Ornithodoros savignyi	Angola	Landana (Cabinda)	-5.233333333	12.13333333	G1	not individually recorded	before 1950	195
19519	Ornithodoros savignyi	Botswana	Tsabong	-26.05	22.45	G1	not individually recorded	before 1962	193
19520	Ornithodoros savignyi	Botswana	Wegdraai	-25.33333333	23.5	G1	not individually recorded	before 1962	193
19521	Ornithodoros savignyi	Botswana	Ypelo on the Molopo (Molopo coords)	-28.51666667	20.21666667	G1	not individually recorded	before 1962	193
19522	Ornithodoros savignyi	Eritrea	Anseba River	17.05	37.4	G2	not individually recorded	before 1962	193
19523	Ornithodoros savignyi	Eritrea	Barca (regione del -)	15.51666667	38.56666667	G2	not recorded	before 1934	272
19524	Ornithodoros savignyi	Eritrea	Lebka River (=Lebca River)	16.21666667	39.21666667	G1	not individually recorded	before 1962	193
19525	Ornithodoros savignyi	Eritrea	Serae	15.28333333	38.21666667	G1	not recorded	before 1934	272
19526	Ornithodoros savignyi	Eritrea	Teseney	15.06666667	36.61666667	M1	not recorded	before 1934	272
19527	Ornithodoros savignyi	Kenya	Garissa	-0.466666667	39.63333333	G1	not individually recorded	before 1962	193
19528	Ornithodoros savignyi	Kenya	Laisamis	1.6	37.8	G1	not individually recorded	before 1962	193
19529	Ornithodoros savignyi	Kenya	Makueni	-1.8	37.61666667	G1	not individually recorded	before 1962	193
19530	Ornithodoros savignyi	Kenya	Upper Tsavo River	-2.983333333	38.51666667	G2	not individually recorded	before 1962	193
19531	Ornithodoros savignyi	Kenya	Wajir	1.75	40.06666667	G1	not individually recorded	before 1962	193
19532	Ornithodoros savignyi	Kenya	Wamba (Isiola)	0.983333333	37.31666667	G1	not individually recorded	before 1962	193
19533	Ornithodoros savignyi	Kenya	Yatta Plateau	-4	38	A2	in dust at rolling place	1910	360
19534	Ornithodoros savignyi	Libya	Attia	31.33333333	20.11666667	G1	not recorded	before 1934	272
19535	Ornithodoros savignyi	Libya	Augila (Awjilah)	29.1	21.28333333	G1	not recorded	1932	72
19536	Ornithodoros savignyi	Libya	Borg (Ras el Borg)	32.36666667	15.21666667	G3	not recorded	1935	72
19537	Ornithodoros savignyi	Libya	Borg (Ras el Borg)	32.36666667	15.21666667	G3	not recorded	before 1958	119
19538	Ornithodoros savignyi	Libya	Brak (Brach = Birak)	27.53333333	14.28333333	G1	not recorded	before 1935	119
19539	Ornithodoros savignyi	Libya	"Dal Mercata, Azizia District"	32.53333333	13.01666667	G2	cattle	c. 1955	72
19540	Ornithodoros savignyi	Libya	Edri (Adiri)	27.5	13.26666667	G1	not recorded	before 1932	119
19541	Ornithodoros savignyi	Libya	Edri (Adiri)	27.5	13.26666667	G1	not recorded	1932	72
19542	Ornithodoros savignyi	Libya	Gadames (Ghadamis)	30.13333333	9.5	G1	not recorded	before 1934	272
19543	Ornithodoros savignyi	Libya	Gadames (Ghadamis)	30.13333333	9.5	G1	not recorded	1932	72
19544	Ornithodoros savignyi	Libya	Gialo	29.03333333	21.55	G1	not recorded	before 1934	272
19545	Ornithodoros savignyi	Libya	Marada	29.23333333	19.21666667	G1	not recorded	before 1934	272
19546	Ornithodoros savignyi	Libya	Marada	29.23333333	19.21666667	G1	not recorded	1932	72
19547	Ornithodoros savignyi	Libya	Mzezzem (Mujazzam)	30.33333333	9.833333333	G1	not recorded	before 1958	119
19548	Ornithodoros savignyi	Libya	Sciaua (Sha'wa)	30.98333333	10.55	G1	not recorded	before 1958	119
19549	Ornithodoros savignyi	Libya	Sciaua (Sha'wa)	30.98333333	10.55	G1	not recorded	1935	72
19550	Ornithodoros savignyi	Libya	Tmessa (Tmassah)	26.36666667	15.8	G1	not recorded	before 1958	119
19551	Ornithodoros savignyi	Libya	Tmessa (Tmassah)	26.36666667	15.8	G1	not recorded	1935	72
19552	Ornithodoros savignyi	Libya	Uenzerich	27.48333333	13.5	G1	not recorded	before 1934	272
19553	Ornithodoros savignyi	Libya	Uenzerich (Wanzarik)	27.48333333	13.5	G1	not recorded	1935	72
19554	Ornithodoros savignyi	Libya	Uenzerich (Wanzarik)	27.48333333	13.5	G1	not recorded	before 1935	119
19555	Ornithodoros savignyi	Mali	Anderanboukane	15.43333333	3.033333333	G1	not recorded	before 1958	119
19556	Ornithodoros savignyi	Mali	"Tadrahat (well, N of Tombouctou) (=Tadraret)"	17.41666667	-2.233333333	G1	not individually recorded	before 1962	193
19557	Ornithodoros savignyi	Mali	"Tim Ibrahim, Tombouctou"	16.76666667	-3.016666667	G2	not individually recorded	before 1962	193
19558	Ornithodoros savignyi	Mali	Tin Temarin	17.91666667	-1.983333333	G1	not recorded	before 1958	119
19559	Ornithodoros savignyi	Mali	Ti-n-Tehoun (well)	17.28333333	-2.766666667	G1	not individually recorded	before 1962	193
19560	Ornithodoros savignyi	Mali	Touchawan (well) (=Tourchaouine)	16.88333333	-3.416666667	G1	not individually recorded	before 1962	193
19561	Ornithodoros savignyi	Mauritania	Bou Tombouskit (Boghe)	16.91666667	-14.58333333	G1	not recorded	before 1958	119
19562	Ornithodoros savignyi	Namibia	Aminuis	-23.63333333	19.36666667	G1	not recorded	before 1951	239
19563	Ornithodoros savignyi	Namibia	Bethany	-26.48333333	17.15	G1	not recorded	before 1955	308
19564	Ornithodoros savignyi	Namibia	Bethany (Bethanien)	-26.48333333	17.15	G1	man	1901	268
19565	Ornithodoros savignyi	Namibia	Epukiro	-21.7	19.11666667	G1	not recorded	before 1951	239
19566	Ornithodoros savignyi	Namibia	Gobabis	-22.45	18.96666667	G1	not recorded	before 1951	239
19567	Ornithodoros savignyi	Namibia	Karasberg	-28.01666667	18.75	G1	not recorded	before 1951	239
19568	Ornithodoros savignyi	Namibia	Ondanqua (Ondangwa)	-17.91666667	15.95	G1	not recorded	before 1951	239
19569	Ornithodoros savignyi	Niger	Agades	16.96666667	7.983333333	G1	not recorded	before 1958	119
19570	Ornithodoros savignyi	Niger	Goure	13.96666667	10.3	G1	not recorded	before 1958	119
19571	Ornithodoros savignyi	Niger	Korgom (Tessaoua)	13.45	8.25	G1	not recorded	before 1958	119
19572	Ornithodoros savignyi	Niger	Laham (Tahoua)	14.9	4.416666667	G1	not recorded	before 1958	119
19573	Ornithodoros savignyi	Niger	Marandet	16.36666667	7.433333333	G1	not recorded	before 1958	119
19574	Ornithodoros savignyi	Niger	Nguigmi (Kassoum Kone)	14.25	13.11666667	G1	not recorded	before 1953	119
19575	Ornithodoros savignyi	Niger	Tiguesefen	15.21666667	3.366666667	G1	not recorded	before 1958	119
19576	Ornithodoros savignyi	Niger	Tourouf (Agades)	15.06666667	6.1	G1	not recorded	before 1958	119
19577	Ornithodoros savignyi	RSA	"Steytlerville, Richtersveld"	-33.33333333	24.35	A1	not individually recorded	before 1962	193
19578	Ornithodoros savignyi	RSA	"Tampanbrand Farm, near Molopo River"	-26.98333333	21.63333333	G1	not individually recorded	before 1962	193
19579	Ornithodoros savignyi	RSA	Wolftoon	-29.08333333	18.26666667	G1	not individually recorded	before 1962	193
19580	Ornithodoros savignyi	RSA	"Wonderdraai (Wiidsdraai), Cape (Wiids Draai coords)"	-29.5	23.6	G1	not individually recorded	before 1962	193
19581	Ornithodoros savignyi	Somalia	Afmadu	0.516666667	42.06666667	G1	not recorded	before 1934	272
19582	Ornithodoros savignyi	Somalia	Audegle	1.983333333	44.83333333	G1	not recorded	before 1934	272
19583	Ornithodoros savignyi	Somalia	Bulhar	10.38333333	43.58333333	A1	not recorded	1913	360
19584	Ornithodoros savignyi	Somalia	Dugiuma	1.25	42.56666667	G1	not recorded	before 1934	272
19585	Ornithodoros savignyi	Somalia	Mahaddei	3.316666667	46.86666667	G1	not recorded	before 1934	272
19586	Ornithodoros savignyi	Somalia	Malka-Re	3.983333333	41.93333333	G1	not recorded	before 1934	272
19587	Ornithodoros savignyi	Somalia	Mogadiscio	2.066666667	45.36666667	G1	not recorded	before 1934	272
19588	Ornithodoros savignyi	Somalia	Obbia	5.35	48.53333333	G1	not recorded	before 1934	272
19589	Ornithodoros savignyi	Somalia	Serenli	2.366666667	42.28333333	G1	not recorded	before 1934	272
19590	Ornithodoros savignyi	Somalia	Uegit	3.8	43.25	G1	not recorded	before 1962	193
19591	Ornithodoros savignyi	Sudan	Abu Hamed	19.53333333	33.31666667	G1	camel yard	before 1956	230
19592	Ornithodoros savignyi	Sudan	Dongola	19.18333333	30.45	G1	not recorded	before 1956	230
19593	Ornithodoros savignyi	Sudan	El Obeid (Al Ubayyid)	13.18333333	30.21666667	G1	in camel yard	before 1956	230
19594	Ornithodoros savignyi	Sudan	Goz Rageb (Qawz Rajab)	16.06666667	35.56666667	G1	human	before 1956	230
19595	Ornithodoros savignyi	Sudan	Karora	17.7	38.36666667	G1	human	before 1956	230
19596	Ornithodoros savignyi	Sudan	Khartoum	15.6	32.53333333	G1	cattle quarantine station	before 1956	230
19597	Ornithodoros savignyi	Sudan	Kosti (Kusti)	13.16666667	32.66666667	G1	not recorded	before 1956	230
19598	Ornithodoros savignyi	Sudan	Nyala	12.05	24.88333333	G1	horse	before 1956	230
19599	Ornithodoros savignyi	Sudan	Shambat	15.66666667	32.53333333	G1	not recorded	before 1956	230
19600	Ornithodoros savignyi	Sudan	Wad Medani (Wad Madani)	14.4	33.53333333	G1	in camel yard	before 1956	230
19601	Ornithodoros savignyi	Sudan	Wad Raiya (Wad Rayyah)	14.4	33.16666667	G1	not recorded	before 1956	230
19602	Ornithodoros savignyi	Sudan	Wadi Halfa	21.8	31.35	G1	camel yard	before 1956	230
19603	Ornithodoros savignyi	Tchad	Abeche	13.81666667	20.81666667	G1	not recorded	before 1961	251
19604	Ornithodoros savignyi	Tchad	Arada	15.01666667	20.66666667	G1	not recorded	before 1961	251
19605	Ornithodoros savignyi	Tchad	Biltine	14.53333333	20.91666667	G1	not recorded	before 1953	119
19606	Ornithodoros savignyi	Tchad	Ennedi	17.25	22	G1	terrier	before 1961	251
19607	Ornithodoros savignyi	Tchad	Massakori	13	15.73333333	G1	not recorded	before 1958	119
19608	Ornithodoros savignyi	Tchad	Ouadai (Abecher region)	13	21	G3	not recorded	before 1958	119
19609	Ornithodoros savignyi	Uganda	Miro District	1.75	33	A1	not recorded	1908-1909	20
19610	Ornithodoros sonrai	Morocco	Chichaoua	31.53333333	-8.766666667	G1	not recorded	1951	290
19611	Ornithodoros sonrai	Morocco	Goulimine	28.98333333	-10.06666667	G1	Meriones shawi	1948	290
19612	Ornithodoros sonrai	Morocco	Imine-Tanoute	29.8	-8.883333333	G1	not recorded	1951	290
19613	Ornithodoros sonrai	Morocco	Inezgane	30.35	-9.533333333	G1	not recorded	1951	290
19614	Ornithodoros sonrai	Morocco	Marrakech	31.63333333	-8	G1	not recorded	1951	290
19615	Ornithodoros sonrai	Morocco	Mogador	31.51666667	-9.766666667	G1	not recorded	1951	290
19616	Ornithodoros sonrai	Morocco	Oued Nfis	31	-8.166666667	G2	not recorded	1951	290
19617	Ornithodoros sonrai	Morocco	Saada	31.58333333	-8.116666667	G2	not recorded	1951	290
19618	Ornithodoros sonrai	Morocco	Saada (Marrakech)	31.58333333	-8.116666667	G2	not recorded	1950	290
19619	Ornithodoros sonrai	Morocco	Taghjicht	29.06666667	-9.416666667	G1	not recorded	1950	290
19620	Ornithodoros sonrai	Morocco	Tamanar	31	-9.666666667	G1	not recorded	1951	290
19621	Ornithodoros sonrai	Morocco	Tata	29.75	-7.983333333	G1	not recorded	1951	290
19622	Ornithodoros sonrai	Morocco	Temara	33.91666667	-6.916666667	G1	petits rongeurs	1973-1975 inclusive	290
19623	Ornithodoros sonrai	Tchad	Fort-Lamy	12.11666667	15.05	G1	Arvicanthis niloticus	before 1965	123
19624	Ornithodoros tholozani	Egypt	Cairo	30.05	30.75	A1	camel	1913	360
19625	Ornithodoros tholozani	Libya	Tobruch (Tubruq)	32.08333333	23.98333333	G1	not recorded	c. 1955	72
19626	Ornithodoros zumpti	RSA	"Fort Beaufort, E Cape"	-32.78333333	26.63333333	G1	not individually recorded	before 1962	193
19627	Ornithodoros zumpti	RSA	Uitenhage	-33.75	25.4	A1	not individually recorded	before 1962	193
19628	Otobius megnini	RSA	"Impendhle, Natal"	-29.6	29.86666667	G1	not individually recorded	before 1962	193
19629	Otobius megnini	RSA	not specified	-34.012944	18.638098	M1	not individually recorded	before 1957	311
19630	Otobius megnini	RSA	not specified	-33.737452	18.627387	M1	not individually recorded	before 1957	311
19631	Otobius megnini	RSA	not specified	-30.60005	17.638621	M1	not individually recorded	before 1957	311
19632	Otobius megnini	RSA	not specified	-30.462471	17.383697	M1	not individually recorded	before 1957	311
19633	Otobius megnini	RSA	not specified	-33.874661	18.781806	M1	not individually recorded	before 1957	311
19634	Otobius megnini	RSA	not specified	-32.403978	18.564841	M1	not individually recorded	before 1957	311
19635	Otobius megnini	RSA	not specified	-32.200428	18.518063	M1	not individually recorded	before 1957	311
19636	Otobius megnini	RSA	not specified	-30.084134	17.531507	M1	not individually recorded	before 1957	311
19637	Otobius megnini	RSA	not specified	-31.802985	18.631329	M1	not individually recorded	before 1957	311
19638	Otobius megnini	RSA	not specified	-33.672622	20.517544	M1	not individually recorded	before 1957	311
19639	Otobius megnini	RSA	not specified	-29.857378	17.35295	M1	not individually recorded	before 1957	311
19640	Otobius megnini	RSA	not specified	-32.625861	18.56634	M1	not individually recorded	before 1957	311
19641	Otobius megnini	RSA	not specified	-32.697375	19.73504	M1	not individually recorded	before 1957	311
19642	Otobius megnini	RSA	not specified	-32.441207	19.583172	M1	not individually recorded	before 1957	311
19643	Otobius megnini	RSA	not specified	-32.45673	19.959935	M1	not individually recorded	before 1957	311
19644	Otobius megnini	RSA	not specified	-33.203912	26.457738	M1	not individually recorded	before 1957	311
19645	Otobius megnini	RSA	not specified	-31.206209	18.427219	M1	not individually recorded	before 1957	311
19646	Otobius megnini	RSA	not specified	-30.444507	17.914101	M1	not individually recorded	before 1957	311
